Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:AP2/ERF	10	4.184100418410042	8.753815242287042E-6	112282168, 112284379, 112289911, 112284328, 112281109, 112282738, 112277463, 112279544, 112282694, 112281055	195	183	26484	7.421605716687683	0.0010761445282417847	2.6917981870032653E-4	2.6480291107918303E-4
PIR_SUPERFAMILY	PIRSF000451:PKS_III	6	2.510460251046025	9.743834739712568E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	18	27	1395	17.22222222222222	1.0717696046225189E-4	1.0718218213683825E-4	1.0718218213683825E-4
INTERPRO	IPR011141:Polyketide_synthase_type-III	6	2.510460251046025	9.780454724176749E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	200	37	25507	20.681351351351353	0.004557079551518517	7.612453926984236E-4	7.286438769511678E-4
INTERPRO	IPR001099:Chalcone/stilbene_synt_N	6	2.510460251046025	9.780454724176749E-6	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	200	37	25507	20.681351351351353	0.004557079551518517	7.612453926984236E-4	7.286438769511678E-4
INTERPRO	IPR036955:AP2/ERF_dom_sf	10	4.184100418410042	1.1570889598079305E-5	112282168, 112284379, 112289911, 112284328, 112281109, 112282738, 112277463, 112279544, 112282694, 112281055	200	178	25507	7.164887640449439	0.005389063321583953	7.719436346147193E-4	7.388839500487784E-4
INTERPRO	IPR001471:AP2/ERF_dom	10	4.184100418410042	1.4451822225410466E-5	112282168, 112284379, 112289911, 112284328, 112281109, 112282738, 112277463, 112279544, 112282694, 112281055	200	183	25507	6.96912568306011	0.006726326060987553	8.194272646506309E-4	7.843340199118459E-4
INTERPRO	IPR023144:Phe_NH3-lyase_shielding_dom_sf	5	2.092050209205021	1.5791960132453274E-5	112277636, 112295966, 112290843, 112286715, 112285521	200	20	25507	31.88375	0.0073477757418916045	8.194272646506309E-4	7.843340199118459E-4
KEGG_PATHWAY	ppp00960:Tropane, piperidine and pyridine alkaloid biosynthesis	6	2.510460251046025	2.011026150014734E-5	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	54	34	5204	17.006535947712415	0.0010050178166720602	2.5137826875184176E-4	2.2624044187665758E-4
INTERPRO	IPR016177:DNA-bd_dom_sf	10	4.184100418410042	2.0219461675485833E-5	112282168, 112284379, 112289911, 112284328, 112281109, 112282738, 112277463, 112279544, 112282694, 112281055	200	191	25507	6.6772251308900525	0.009398142857806158	9.442488602451884E-4	9.038099368942168E-4
GOTERM_BP_DIRECT	GO:0009800~cinnamic acid biosynthetic process	5	2.092050209205021	2.0873567832835583E-5	112277636, 112295966, 112290843, 112286715, 112285521	136	19	15186	29.384674922600617	0.0023976064932613728	9.846747468244099E-4	9.069372668119564E-4
GOTERM_BP_DIRECT	GO:0019752~carboxylic acid metabolic process	5	2.092050209205021	2.591249333748447E-5	112280792, 112284910, 112278648, 112280260, 112284299	136	20	15186	27.91544117647059	0.002975539623956802	9.846747468244099E-4	9.069372668119564E-4
GOTERM_MF_DIRECT	GO:0015250~water channel activity	5	2.092050209205021	2.642508364880687E-5	112281367, 112280334, 112281798, 112276819, 112285321	164	20	18277	27.861280487804876	0.0036927256487213622	0.001512766798967193	0.0014155175047478733
GOTERM_MF_DIRECT	GO:0016841~ammonia-lyase activity	5	2.092050209205021	3.241643140643985E-5	112277636, 112295966, 112290843, 112286715, 112285521	164	21	18277	26.534552845528452	0.00452809109885155	0.001512766798967193	0.0014155175047478733
INTERPRO	IPR022357:MIP_CS	5	2.092050209205021	3.3798366438315506E-5	112281367, 112280334, 112281798, 112276819, 112285321	200	24	25507	26.569791666666667	0.01566018772431821	0.0014348942842448492	0.0013734427089024572
KEGG_PATHWAY	ppp00941:Flavonoid biosynthesis	6	2.510460251046025	4.5406664365359234E-5	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	54	40	5204	14.455555555555556	0.0022678093898683693	4.540666436535923E-4	4.086599792882331E-4
UP_KW_MOLECULAR_FUNCTION	KW-0456~Lyase	13	5.439330543933055	4.6465331341524486E-5	112277636, 112295966, 112278648, 112277699, 112280792, 112284722, 112296080, 112290843, 112286715, 112284910, 112280260, 112284299, 112285521	93	246	7419	4.215709415158668	0.0010681565646459834	0.0010687026208550633	0.0010687026208550633
INTERPRO	IPR034294:Aquaporin_transptr	5	2.092050209205021	4.69745483764557E-5	112281367, 112280334, 112281798, 112276819, 112285321	200	26	25507	24.52596153846154	0.02169874956763218	0.0018280928409837344	0.001749801927022975
INTERPRO	IPR024083:Fumarase/histidase_N	5	2.092050209205021	5.4808413566197945E-5	112277636, 112295966, 112290843, 112286715, 112285521	200	27	25507	23.617592592592594	0.025271424249803887	0.0019688868565703416	0.0018845662203146524
GOTERM_MF_DIRECT	GO:0016759~cellulose synthase activity	4	1.6736401673640167	5.623591094376496E-5	112286966, 112280291, 112285828, 112286610	164	9	18277	49.53116531165312	0.00784233607099849	0.0019682568830317734	0.0018417260834083023
INTERPRO	IPR044808:ERF_plant	5	2.092050209205021	7.327422834971559E-5	112284379, 112284328, 112281109, 112282738, 112281055	200	29	25507	21.988793103448277	0.03364142538153647	0.002294608916194451	0.0021963387270640677
INTERPRO	IPR027934:CES_Znf_RING	4	1.6736401673640167	7.37026418477875E-5	112286966, 112280291, 112285828, 112286610	200	11	25507	46.376363636363635	0.03383475874244357	0.002294608916194451	0.0021963387270640677
GOTERM_BP_DIRECT	GO:0006559~L-phenylalanine catabolic process	5	2.092050209205021	7.671619556809941E-5	112277636, 112295966, 112290843, 112286715, 112285521	136	26	15186	21.473416289592762	0.008783895098855243	0.002186411573690833	0.0020138001336626097
INTERPRO	IPR001106:Aromatic_Lyase	5	2.092050209205021	8.403297045531513E-5	112277636, 112295966, 112290843, 112286715, 112285521	200	30	25507	21.255833333333335	0.03848493530318675	0.0024527123251645105	0.0023476711120953664
INTERPRO	IPR000425:MIP	5	2.092050209205021	9.589563166752207E-5	112281367, 112280334, 112281798, 112276819, 112285321	200	31	25507	20.57016129032258	0.043797346154444305	0.0024879588882629334	0.0023814081864101315
INTERPRO	IPR023271:Aquaporin-like	5	2.092050209205021	9.589563166752207E-5	112281367, 112280334, 112281798, 112276819, 112285321	200	31	25507	20.57016129032258	0.043797346154444305	0.0024879588882629334	0.0023814081864101315
INTERPRO	IPR008948:L-Aspartase-like	5	2.092050209205021	1.3877833273190485E-4	112277636, 112295966, 112290843, 112286715, 112285521	200	34	25507	18.755147058823532	0.06275820606739513	0.0034110253360947135	0.0032649428805874457
GOTERM_CC_DIRECT	GO:0009514~glyoxysome	3	1.2552301255230125	1.5143291664685804E-4	112273017, 112284910, 112284299	122	3	16921	138.69672131147541	0.004683772662442798	0.0023472102080262995	0.0021200608330560126
UP_KW_CELLULAR_COMPONENT	KW-0330~Glyoxysome	3	1.2552301255230125	2.0769940963764481E-4	112273017, 112284910, 112284299	86	3	10128	117.76744186046511	0.0024895477089659224	0.002492392915651738	0.002492392915651738
GOTERM_BP_DIRECT	GO:0006355~regulation of DNA-templated transcription	19	7.949790794979079	2.332440351895319E-4	112274736, 112290295, 112274854, 112281109, 112282738, 112277463, 112278046, 112279544, 112282168, 112278297, 112278384, 112284379, 112289911, 112292639, 112290558, 112284328, 112288276, 112282694, 112281055	136	794	15186	2.672006963994666	0.026469566476700623	0.005317964002321327	0.00489812473898017
UP_KW_LIGAND	KW-0464~Manganese	9	3.765690376569038	2.8339064721438073E-4	112286966, 112276163, 112277603, 112293910, 112280291, 112277733, 112277666, 112285828, 112286610	48	196	5278	5.049107142857143	0.004806734268331114	0.004817641002644472	0.004817641002644472
KEGG_PATHWAY	ppp04712:Circadian rhythm - plant	6	2.510460251046025	3.769600582043877E-4	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	54	62	5204	9.32616487455197	0.01867497702719012	0.0031413338183698975	0.0028272004365329077
GOTERM_BP_DIRECT	GO:0009833~plant-type primary cell wall biogenesis	4	1.6736401673640167	5.084358207213973E-4	112286966, 112280291, 112285828, 112286610	136	18	15186	24.813725490196077	0.05680760104441718	0.008379377478764327	0.007717847677809249
GOTERM_BP_DIRECT	GO:0009873~ethylene-activated signaling pathway	5	2.092050209205021	5.145231785206166E-4	112284379, 112284328, 112281109, 112282738, 112281055	136	42	15186	13.293067226890757	0.05746798584549628	0.008379377478764327	0.007717847677809249
INTERPRO	IPR016039:Thiolase-like	6	2.510460251046025	5.737715128469251E-4	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	200	86	25507	8.897790697674418	0.23511378694784324	0.013397564824975703	0.012823793312128778
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	7	2.928870292887029	6.161281848667618E-4	112286966, 112294621, 112280291, 112285915, 112285828, 112286610, 112291110	136	117	15186	6.680618401206637	0.06842313791705767	0.008779826634351355	0.00808668242637625
KEGG_PATHWAY	ppp00940:Phenylpropanoid biosynthesis	7	2.928870292887029	6.540915639322834E-4	112277636, 112295966, 112290843, 112286715, 112276077, 112285521, 112274681	54	106	5204	6.364081062194269	0.03218592240888363	0.004672082599516311	0.004204874339564679
GOTERM_MF_DIRECT	GO:0016747~acyltransferase activity, transferring groups other than amino-acyl groups	7	2.928870292887029	7.578509846126542E-4	112272830, 112276927, 112274269, 112273835, 112293268, 112278884, 112276782	164	121	18277	6.447238459987906	0.1007006886620575	0.021219827569154318	0.01985569579685154
INTERPRO	IPR005150:Cellulose_synth	4	1.6736401673640167	9.479044019155696E-4	112286966, 112280291, 112285828, 112286610	200	25	25507	20.405600000000003	0.35781656604750145	0.021079588366408143	0.020176822269345696
UP_KW_CELLULAR_COMPONENT	KW-0052~Apoplast	6	2.510460251046025	0.0010261854871060382	112277603, 112281820, 112283290, 112277733, 112277666, 112291110	86	92	10128	7.680485338725986	0.012244961297013468	0.006157112922636229	0.006157112922636229
GOTERM_BP_DIRECT	GO:0006097~glyoxylate cycle	3	1.2552301255230125	0.0011494978893139922	112273017, 112284910, 112284299	136	6	15186	55.83088235294118	0.123894089455311	0.014560306597977234	0.013410808708663242
GOTERM_MF_DIRECT	GO:0003700~DNA-binding transcription factor activity	16	6.694560669456067	0.0011799297910641702	112290295, 112274854, 112281109, 112282738, 112277463, 112278046, 112279544, 112282168, 112278297, 112284379, 112289911, 112292639, 112284328, 112286102, 112282694, 112281055	164	682	18277	2.6145483155711324	0.15235020313225067	0.027250775858488785	0.025498940267585937
INTERPRO	IPR021115:Pyridoxal-P_BS	3	1.2552301255230125	0.001239479182890584	112280792, 112278648, 112280260	200	7	25507	54.65785714285714	0.43965118384693325	0.026310762654995577	0.025183963397822317
GOTERM_MF_DIRECT	GO:0016760~cellulose synthase (UDP-forming) activity	4	1.6736401673640167	0.0013865356431761878	112286966, 112280291, 112285828, 112286610	164	25	18277	17.831219512195123	0.17654772775465677	0.027250775858488785	0.025498940267585937
GOTERM_MF_DIRECT	GO:0015267~channel activity	4	1.6736401673640167	0.001557187191913645	112280334, 112281798, 112276819, 112285321	164	26	18277	17.145403377110696	0.19601616965771562	0.027250775858488785	0.025498940267585937
GOTERM_BP_DIRECT	GO:0030244~cellulose biosynthetic process	4	1.6736401673640167	0.0019129212643228736	112286966, 112280291, 112285828, 112286610	136	28	15186	15.951680672268909	0.1976389793834763	0.02180730241328076	0.020085673275390174
GOTERM_BP_DIRECT	GO:0009058~biosynthetic process	6	2.510460251046025	0.0022490081084038755	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	136	103	15186	6.50456881781839	0.22812079115139872	0.023307902214367435	0.021467804671127903
GOTERM_CC_DIRECT	GO:0048046~apoplast	5	2.092050209205021	0.003653967148284945	112277603, 112283290, 112277733, 112277666, 112291110	122	88	16921	7.880495529061102	0.10727833764221228	0.03775766053227776	0.03410369338399282
INTERPRO	IPR050231:Iron_ascorbate_oxido_reductase	4	1.6736401673640167	0.0040092096292727916	112293055, 112293606, 112291626, 112293061	200	41	25507	12.442439024390243	0.8468081439702764	0.07952053671080969	0.07611494627351592
INTERPRO	IPR001087:GDSL	5	2.092050209205021	0.004086708524752533	112295785, 112295558, 112295429, 112283274, 112295883	200	83	25507	7.682831325301205	0.8522750625973771	0.07952053671080969	0.07611494627351592
INTERPRO	IPR002129:PyrdxlP-dep_de-COase	3	1.2552301255230125	0.004464005293697296	112280792, 112278648, 112280260	200	13	25507	29.431153846153844	0.8762333573831956	0.08338761888626549	0.07981641465130765
UP_KW_LIGAND	KW-0408~Iron	13	5.439330543933055	0.004981199239654541	112288370, 112293055, 112293061, 112280636, 112280847, 112276077, 112293641, 112284479, 112284722, 112280861, 112293606, 112291626, 112287872	48	598	5278	2.3903985507246377	0.08138850633466654	0.0423401935370636	0.0423401935370636
GOTERM_MF_DIRECT	GO:0016706~2-oxoglutarate-dependent dioxygenase activity	4	1.6736401673640167	0.005401940247126125	112293055, 112293606, 112291626, 112293061	164	40	18277	11.144512195121951	0.5315480237362834	0.08403018162196195	0.07862824137483582
GOTERM_MF_DIRECT	GO:0016831~carboxy-lyase activity	3	1.2552301255230125	0.0067046768630645215	112280792, 112278648, 112280260	164	14	18277	23.881097560975608	0.6100807393965659	0.0938654760829033	0.08783126690614523
INTERPRO	IPR036514:SGNH_hydro_sf	5	2.092050209205021	0.007083761360653773	112295785, 112295558, 112295429, 112283274, 112295883	200	97	25507	6.573969072164949	0.9638431600701726	0.12723525213174278	0.12178620493123989
UP_KW_BIOLOGICAL_PROCESS	KW-9998~Cell wall biogenesis/degradation	7	2.928870292887029	0.007344158284720915	112286966, 112294621, 112280291, 112285915, 112285828, 112286610, 112291110	56	154	4866	3.9496753246753245	0.18046977844527312	0.09914613684373236	0.09180197855901144
UP_KW_BIOLOGICAL_PROCESS	KW-0961~Cell wall biogenesis/degradation	7	2.928870292887029	0.007344158284720915	112286966, 112294621, 112280291, 112285915, 112285828, 112286610, 112291110	56	154	4866	3.9496753246753245	0.18046977844527312	0.09914613684373236	0.09180197855901144
INTERPRO	IPR013210:LRR_N_plant-typ	6	2.510460251046025	0.008752359794294468	112278174, 112294854, 112296161, 112274579, 112280988, 112285915	200	161	25507	4.752857142857143	0.9835156539152691	0.15138340829390803	0.14490017881665287
GOTERM_CC_DIRECT	GO:0005618~cell wall	4	1.6736401673640167	0.009076030113969933	112277603, 112277733, 112277666, 112291110	122	60	16921	9.246448087431695	0.246210037448232	0.07033923338326697	0.06353221079778953
INTERPRO	IPR026992:DIOX_N	4	1.6736401673640167	0.009111982219854292	112293055, 112293606, 112291626, 112293061	200	55	25507	9.275272727272728	0.9860851876099095	0.15197484630971264	0.1454662875812453
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	7	2.928870292887029	0.010990921714075168	112277603, 112283290, 112277733, 112285915, 112277666, 112276077, 112291110	86	223	10128	3.6967358431536135	0.12420323442036696	0.04396368685630067	0.04396368685630067
GOTERM_MF_DIRECT	GO:0016788~hydrolase activity, acting on ester bonds	5	2.092050209205021	0.011515228317221352	112295785, 112295558, 112295429, 112283274, 112295883	164	98	18277	5.685975609756097	0.8023951354597153	0.13737357670258518	0.12854241820027615
INTERPRO	IPR044861:IPNS-like_FE2OG_OXY	4	1.6736401673640167	0.011553435169779518	112293055, 112293606, 112291626, 112293061	200	60	25507	8.502333333333334	0.9956031390111185	0.18068810238878896	0.1729498538924811
INTERPRO	IPR001128:Cyt_P450	5	2.092050209205021	0.011607372744461818	112284479, 112284722, 112280636, 112280847, 112293641	200	112	25507	5.693526785714286	0.9957137727686906	0.18068810238878896	0.1729498538924811
GOTERM_MF_DIRECT	GO:0051213~dioxygenase activity	4	1.6736401673640167	0.01177487800307873	112293055, 112293606, 112291626, 112293061	164	53	18277	8.410952600092038	0.809530866884416	0.13737357670258518	0.12854241820027615
INTERPRO	IPR036396:Cyt_P450_sf	5	2.092050209205021	0.012322834765419307	112284479, 112284722, 112280636, 112280847, 112293641	200	114	25507	5.593640350877193	0.9969435933414632	0.1856375430790586	0.17768732710136872
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	13	5.439330543933055	0.012531263934221888	112287097, 112294854, 112274579, 112279987, 112280988, 112278174, 112283686, 112279430, 112290834, 112293529, 112282328, 112296161, 112291448	136	646	15186	2.247063376434165	0.7654768263985707	0.11904700737510794	0.10964855942444152
UP_SEQ_FEATURE	DOMAIN:Fe2OG dioxygenase	4	1.6736401673640167	0.01315241639873187	112293055, 112293606, 112291626, 112293061	195	67	26484	8.108381171067737	0.8037724006130705	0.32354944340880404	0.3182884768493113
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	10	4.184100418410042	0.015060896215039976	112281367, 112293481, 112279419, 112280334, 112281798, 112285070, 112278171, 112276819, 112285321, 112283067	136	432	15186	2.584763071895425	0.8253861436738651	0.1320724745011198	0.1216457001983998
UP_KW_LIGAND	KW-0349~Heme	7	2.928870292887029	0.015118334217770408	112284479, 112284722, 112280636, 112280847, 112276077, 112293641, 112287872	48	229	5278	3.3611717612809318	0.2281571268852266	0.08567056056736565	0.08567056056736565
INTERPRO	IPR006254:Isocitrate_lyase	2	0.8368200836820083	0.015542995530630101	112284910, 112284299	200	2	25507	127.535	0.9993349047955071	0.21353540778035554	0.20439042243644312
INTERPRO	IPR018523:Isocitrate_lyase_ph_CS	2	0.8368200836820083	0.015542995530630101	112284910, 112284299	200	2	25507	127.535	0.9993349047955071	0.21353540778035554	0.20439042243644312
INTERPRO	IPR005123:Oxoglu/Fe-dep_dioxygenase	4	1.6736401673640167	0.015546475084651155	112293055, 112293606, 112291626, 112293061	200	67	25507	7.6140298507462685	0.9993360017027862	0.21353540778035554	0.20439042243644312
SMART	SM00369:LRR_TYP	5	2.092050209205021	0.01663811064701156	112283686, 112294854, 112274579, 112280988, 112280470	58	145	8393	4.9898929845422115	0.4347316339318549	0.23698744438972674	0.2300172254370877
GOTERM_MF_DIRECT	GO:0004451~isocitrate lyase activity	2	0.8368200836820083	0.017757572594299446	112284910, 112284299	164	2	18277	111.44512195121952	0.918601481095239	0.19123539716937865	0.17894169306563287
INTERPRO	IPR029044:Nucleotide-diphossugar_trans	6	2.510460251046025	0.018990252617011587	112286966, 112294621, 112279382, 112280291, 112285828, 112286610	200	196	25507	3.9041326530612244	0.999870746698217	0.25338422777555464	0.24253265485154799
SMART	SM00835:Cupin_1	3	1.2552301255230125	0.020910656857917063	112277603, 112277733, 112277666	58	33	8393	13.155172413793105	0.5125175332087435	0.23698744438972674	0.2300172254370877
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	15	6.2761506276150625	0.02152171265230752	112290295, 112281109, 112282738, 112277463, 112278046, 112279544, 112282168, 112281100, 112278297, 112284379, 112289911, 112292639, 112284328, 112282694, 112281055	56	703	4866	1.8540438935175776	0.4442464938750511	0.15994766331732563	0.148099688256783
UP_SEQ_FEATURE	DOMAIN:Cellulose synthase RING-type zinc finger	2	0.8368200836820083	0.021815768482594308	112280291, 112285828	195	3	26484	90.54358974358973	0.933665281490194	0.4472232538931833	0.4399513310656519
INTERPRO	IPR001611:Leu-rich_rpt	9	3.765690376569038	0.022941849902018117	112283686, 112278174, 112290834, 112294854, 112296161, 112274579, 112280988, 112285915, 112280470	200	441	25507	2.6027551020408164	0.9999803739779781	0.2931259879935267	0.28057241249059195
INTERPRO	IPR039556:ICL/PEPM	2	0.8368200836820083	0.02322411468042931	112284910, 112284299	200	3	25507	85.02333333333334	0.999982851271212	0.2931259879935267	0.28057241249059195
UP_KW_BIOLOGICAL_PROCESS	KW-0611~Plant defense	4	1.6736401673640167	0.023695950121085278	112282267, 112295138, 112275255, 112280470	56	55	4866	6.3194805194805195	0.47664370440532566	0.15994766331732563	0.148099688256783
PIR_SUPERFAMILY	PIRSF001362:Isocit_lyase	2	0.8368200836820083	0.024232887490144236	112284910, 112284299	18	2	1395	77.5	0.2365019344673861	0.1332808811957933	0.1332808811957933
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	5	2.092050209205021	0.02442748810729249	112284479, 112284722, 112280636, 112280847, 112293641	164	123	18277	4.530289510212175	0.9686427697360683	0.2401127024534116	0.2246768858671208
INTERPRO	IPR027443:IPNS-like_sf	4	1.6736401673640167	0.024781857920777264	112293055, 112293606, 112291626, 112293061	200	80	25507	6.37675	0.9999918618164406	0.30455599076323636	0.29151290764703786
UP_SEQ_FEATURE	DOMAIN:Cupin type-1	3	1.2552301255230125	0.02568313208595307	112277603, 112277733, 112277666	195	34	26484	11.98371040723982	0.9592500361778296	0.4512893209388897	0.4439512832000459
GOTERM_MF_DIRECT	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5	2.092050209205021	0.025726360977151242	112284479, 112284722, 112280636, 112280847, 112293641	164	125	18277	4.45780487804878	0.9739784431227425	0.2401127024534116	0.2246768858671208
INTERPRO	IPR001929:Germin	3	1.2552301255230125	0.025765943284081185	112277603, 112277733, 112277666	200	32	25507	11.956406249999999	0.9999949211601578	0.3085306541965619	0.2953173499483151
INTERPRO	IPR003591:Leu-rich_rpt_typical-subtyp	5	2.092050209205021	0.027177585918340484	112283686, 112294854, 112274579, 112280988, 112280470	200	145	25507	4.397758620689656	0.9999974196631956	0.3172983155966252	0.30370952263745493
GOTERM_CC_DIRECT	GO:0005802~trans-Golgi network	4	1.6736401673640167	0.02748926471484785	112286966, 112280291, 112285828, 112286610	122	91	16921	6.096559178526392	0.5785689534713201	0.17043344123205667	0.15393988240314796
KEGG_PATHWAY	ppp00950:Isoquinoline alkaloid biosynthesis	3	1.2552301255230125	0.028298771555756233	112280792, 112276371, 112278648	54	26	5204	11.11965811965812	0.7619667706148582	0.17686732222347645	0.1591805900011288
INTERPRO	IPR006045:Cupin_1	3	1.2552301255230125	0.0288488981417026	112277603, 112277733, 112277666	200	34	25507	11.253088235294118	0.9999988440501707	0.32859598615061253	0.3145233529107576
INTERPRO	IPR010977:Aromatic_deC	2	0.8368200836820083	0.03084560155201094	112280792, 112278648	200	4	25507	63.7675	0.9999995579030562	0.34297371249497877	0.328285330803545
INTERPRO	IPR035669:SGNH_plant_lipase-like	3	1.2552301255230125	0.03542770174185697	112295785, 112295429, 112295883	200	38	25507	10.068552631578948	0.9999999516557667	0.38476131891737686	0.3682833181072109
INTERPRO	IPR044278:BHLH95-like	2	0.8368200836820083	0.038407916781337315	112290295, 112278046	200	5	25507	51.014	0.9999999886043119	0.40383684135532105	0.3865419016827163
INTERPRO	IPR011701:MFS	3	1.2552301255230125	0.0389136142633607	112293481, 112279419, 112285070	200	40	25507	9.565125	0.9999999910864108	0.40383684135532105	0.3865419016827163
